time;truth;sensor;kalman
14240;12,1094;13,4284;13,4763
14260;12,1094;14,0973;13,9179
14280;12,4491;14,3545;14,3243
14300;12,4491;14,2002;14,5954
14320;12,883;14,9033;14,9655
14340;13,2981;14,749;15,205
14360;13,2981;15,4693;15,5523
14380;13,7132;15,778;15,8894
14400;13,7132;16,0867;16,2174
14420;14,1472;16,7898;16,6372
14440;14,6189;17,0985;17,0365
14460;14,6189;17,3558;17,4045
14480;15,034;17,6131;17,7451
14500;15,034;18,3162;18,1743
14520;15,4113;19,4309;18,7835
14540;15,8075;18,8822;19,1276
14560;15,8075;19,1908;19,4573
14580;16,2415;200;19,8678
14600;16,2415;20,1169;20,2306
14620;16,7321;20,0998;20,4827
14640;17,2226;65,05;20,8724
14660;17,2226;21,0602;21,1947
14680;17,6377;200;21,5773
14700;17,6377;21,386;21,7487
14720;18,0528;22,1749;22,1266
14740;18,4302;200;22,4832
14760;18,4302;139,8411;22,8387
14780;18,8075;22,2092;22,7817
14800;18,8075;200;23,0803
14820;19,0906;200;23,3743
14840;19,3547;22,5522;23,138
14860;19,3547;200;23,3558
14880;19,4491;120,7189;23,5649
14900;19,4491;200;23,7654
14920;19,5811;200;23,9571
14940;19,7698;200;24,1401
14960;19,7698;23,6327;23,8624
14980;19,9396;23,9071;23,9453
15000;19,9396;23,5984;23,8831
15020;20,2038;23,7527;23,8892
15040;20,4491;23,4955;23,8105
15060;20,4491;23,6498;23,78
15080;20,7321;24,6617;24,0098
15100;20,7321;24,816;24,231
15120;20,9962;24,5759;24,3456
15140;21,2792;24,7303;24,4722
15160;21,2792;24,5245;24,516
15180;21,5623;200;24,5487
15200;21,5623;25,2105;24,7795
15220;21,9208;25,4849;25,0271
15240;22,2226;25,6392;25,2553
15260;22,2226;25,7421;25,4568
15280;22,5057;25,382;25,5127
15300;22,5057;25,8793;25,6805
15320;22,6566;25,9479;25,8274
15340;22,7698;25,9994;25,9527
15360;22,7698;26,4453;26,1613
15380;22,883;26,0508;26,2255
15400;22,883;26,0508;26,2669
15420;22,9019;26,0508;26,2894
15440;22,9208;26,4453;26,3962
15460;22,9208;25,9994;26,3632
15480;22,9019;26,411;26,4276
15500;22,9019;26,3596;26,4595
15520;22,883;26,3081;26,464
15540;22,8075;26,2566;26,4456
15560;22,8075;25,3305;26,1869
15580;22,7698;25,6907;26,0485
15600;22,7698;26,0508;26,0167
15620;22,6755;25,5363;25,8571
15640;22,5434;25,4334;25,6928
15660;22,5434;25,7421;25,6306
15680;22,4113;25,1762;25,4369
15700;22,4113;25,039;25,2394
15720;22,2038;24,8846;25,0365
15740;21,9396;200;24,8648
15760;21,9396;104,3406;24,6801
15780;21,6566;200;24,4823
15800;21,6566;123,3085;24,2716
15820;21,2415;200;24,0479
15840;20,8075;121,2677;23,8112
