time,cm
24440, 17.4545
24460, 17.4545
24480, 17.4545
24500, 17.4545
24520, 17.4545
24540, 17.4545
24560, 17.4545
24580, 17.4545
24600, 17.4545
24620, 17.4545
24640, 17.4545
24660, 17.4545
24680, 17.4545
24700, 17.4545
24720, 17.4545
24740, 17.4545
24760, 17.3907
24780, 17.3907
24800, 17.4545
24820, 17.4545
24840, 17.4545
24860, 17.3907
24880, 17.3907
24900, 17.3907
24920, 17.3907
24940, 17.3268
24960, 17.3268
24980, 17.3268
25000, 17.3907
25020, 17.3907
25040, 17.3907
25060, 17.3907
25080, 17.3907
